"","Lake_Name","sampling_year","Area_ha","Secchi_depth","summer_air_temp","SEAc","dY_range","dX_range","TA","CD","NND","SDNND","LaTro_CUE","div_shannon","SmBas_CUE","total_pred_CUE","log_area_ha","log_dY_range","log_dX_range","log_SEAc","log_LaTro_CUE","log_SmBas_CUE","sqrt_SmBas_CUE","log_NND","log_SDNND","log_CD","log_total_pred_CUE"
"1","Abbess",2010,134.2887726,NA,18.3380434782609,0.0447804959679946,0.87832527900356,0.212937845104544,0.108312906995882,0.204130022661728,0.0634708495823074,0.0383820264952523,1.754,1.38803528340821,0.859,0.859,4.89999250063025,-0.129738276731751,-1.54675496287759,-3.10598259221421,0.561898893949991,-0.151986356997882,0.926822528858681,-2.75717454018052,-3.26016598898221,-1.58899812218049,-0.151986356997882
"2","Argo",2010,939.9425659,8,18.770652173913,0.0406932422737346,0.76339107130306,0.255885205395419,0.110546684319206,0.156038509342383,0.0709699421729209,0.0653993342997629,4.893,1.32126511247204,0.795,0.795,6.84581877329098,-0.269984834700815,-1.36302635149543,-3.20169323781972,1.58780561230699,-0.229413164327805,0.89162772500635,-2.64549884125577,-2.7272431994735,-1.85765244743736,-0.229413164327805
"3","Atikwa",2010,5196.498535,4.5,18.4282608695652,0.11736081517949,0.86501536935991,0.669277615848201,0.269974885151551,0.239906056642162,0.0925053630118018,0.128854709440385,0.647,2.01954573710913,0.01,1.787,8.55574031910791,-0.145008004161969,-0.401556333558219,-2.14250219919769,-0.435408984481236,-4.60517018598809,0.1,-2.38048865763848,-2.04906979276213,-1.42750786292678,0.580538236177291
"4","Aylen",2008,2104.572266,5.5,17.5304347826087,0.0243291096032937,1.49901816375406,0.0976689094566312,0.0636236305390606,0.265184094498042,0.0610013354305719,0.105615392768853,0.579,1.3380767380684,0.976,1.205,7.65186752641888,0.404810336294586,-2.32617199517707,-3.71608171951509,-0.546452801409142,-0.0242926925690446,0.987927122818278,-2.796859522744,-2.24795115347608,-1.32733099796661,0.186479566942618
"5","Bad Vermilion",2016,1813.1,4.9,18.4597826086957,0.0326681843700492,0.42957972146702,0.252297018906725,0.0569927536309867,0.125749883326677,0.0697588047353894,0.0390508577630021,NA,NA,NA,NA,7.50279336643176,-0.844947940190652,-1.37714823907388,-3.42135362975129,NA,NA,NA,-2.66271163348191,-3.24289043717579,-2.07346039782239,NA
"6","Beaverhouse",2010,1956.608276,3.75,18.7391304347826,0.0234644909861494,0.77946395059742,0.103204250319758,0.0599483243557617,0.225246642291801,0.0443277204995088,0.0263482301438985,1.03,1.64271824468179,0.044,0.526,7.57896778180075,-0.249148838381921,-2.27104524151379,-3.75226702244283,0.0295588022415444,-3.12356564506388,0.20976176963403,-3.11614505271785,-3.63635417346506,-1.49055928918947,-0.642454066244427
"7","Bell",2009,4161.751953,3.25,14.6510869565217,0.0280074498895248,0.49400590235509,0.249917147772842,0.0785474199829554,0.140641916812431,0.0347272956207799,0.0350722739758514,1.273,2.12459233987437,0.01,2.621,8.33369140714775,-0.705207813778366,-1.38662582495659,-3.57528473671358,0.241376319575269,-4.60517018598809,0.1,-3.36022928393703,-3.35034437587564,-1.96153821592575,0.963555924341269
"8","Bending",2010,1147.116,4.1,18.0630434782609,0.0489972786499906,0.66447370536432,0.179370460626411,0.052888346386601,0.183820086907863,0.146644586511125,0.120539946016739,0.159,1.94459408207154,0.891,7.294,7.04500624540719,-0.408759972169605,-1.71830199940081,-3.01599052016908,-1.83885107676191,-0.115410851511328,0.943927963353136,-1.91974339858626,-2.11577407877254,-1.69379778826443,1.98705209238649
"9","Big_Rideaux",2009,4583.948242,8.15,18.5173913043478,0.0429843422234726,0.577559049769309,0.366179433484545,0.11769585389336,0.144584844043419,0.0574033741417034,0.0510910375747565,0.243,2.06178317377774,1.665,4.862,8.43031596731861,-0.548944591130647,-1.00463181029444,-3.14691936393943,-1.41469383564159,0.509825123432407,1.29034879005639,-2.85765219442776,-2.97414618708158,-1.93388878772848,1.58144987589393
"10","Bluffpoint",2010,503.7400818,3.74,18.7858695652174,0.0283759609440258,0.94079229776463,0.100729912565565,0.0532393688898027,0.191783048144698,0.0448358505400901,0.0400661011055241,1.463,1.58043777668531,0.01,1.481,6.22206042433258,-0.061032888771128,-2.29531247703582,-3.56221293788526,0.380489122037987,-4.60517018598809,0.1,-3.10474722430886,-3.21722466115149,-1.65139050341744,0.392717535285662
