"","Lake_Name","LC_pred_mean","LC_pred_sd","TP_pred_mean","TP_pred_sd","dN_pred_mean","dN_pred_sd","sampling_year","Latitude","Longitude","Area_ha","Secchi_depth","summer_air_temp","log_tp_pred_mean","log_area","logit_lc"
"1","Abbess",0.0935116837758459,0.0651478478020243,4.34479687327594,0.244340953822662,7.9723093691382,0.830759242997048,2010,48.68028,-91.6828,134.2887726,NA,18.3380434782609,1.46897900809083,4.89999250063025,-2.27149175256784
"2","Argo",0.150026050338815,0.0693714290239099,4.19601890093308,0.18005918841384,7.46646426317248,0.612201240607056,2010,48.25694,-91.8039,939.9425659,8,18.770652173913,1.43413619503608,6.84581877329098,-1.73439675361431
"3","Atikwa",0.137479344278221,0.148649921748703,4.52443431028402,0.253829892681319,8.58307665496567,0.863021635116483,2010,49.46472,-93.5486,5196.498535,4.5,18.4282608695652,1.50949255503508,8.55574031910791,-1.83638541489084
"4","Aylen",0.0527787543857657,0.0286723425833863,4.6022248220275,0.351485044549258,8.84756439489352,1.19504915146748,2008,45.61333,-77.8486,2104.572266,5.5,17.5304347826087,1.52653984353322,7.65186752641888,-2.8874239631133
"5","Bad Vermilion",0.184705734422335,0.0765901808290154,4.70475524719743,0.132523469638513,9.19616784047124,0.450579796770943,2016,48.74,-92.68,1813.1,4.9,18.4597826086957,1.54857375196002,7.50279336643176,-1.48478517618455
"6","Beaverhouse",0.174631439736644,0.0273446575274853,4.46005191377429,0.258978715912976,8.36417650683259,0.880527634104119,2010,48.54333,-92.1025,1956.608276,3.75,18.7391304347826,1.49516040582394,7.57896778180075,-1.55315233187384
"7","Bell",0.292507265358564,0.0547171968621432,4.42342983993788,0.155402410017648,8.23966145578879,0.528368194059999,2009,49.81056,-90.915,4161.751953,3.25,14.6510869565217,1.48691537705772,8.33369140714775,-0.883237855210493
"8","Bending",0.193605541208486,0.0658790588671353,4.54800651872833,0.24156367912056,8.66322216367632,0.821316509009916,2010,49.32028,-92.1375,1147.116,4.1,18.0630434782609,1.51468900920484,7.04500624540719,-1.42675022937766
"9","Big_Rideaux",0.396731554852584,0.0868001620221867,4.90277324720874,0.150871669297371,9.8694290405097,0.512963675611061,2009,44.77083,-76.2128,4583.948242,8.15,18.5173913043478,1.58980101383474,8.43031596731861,-0.419102412607385
"10","Bluffpoint",0.031849181667258,0.0364765725660697,4.58910131690175,0.24590156798862,8.80294447746595,0.836065331161306,2010,49.17472,-93.3767,503.7400818,3.74,18.7858695652174,1.52368421337812,6.22206042433258,-3.41437619085074
"11","Burntroot",0.279345295098574,0.110915064599166,4.83038901355089,0.105636165930329,9.62332264607301,0.359162964163104,2007,45.8606,-78.6845,1177,3.62,17.9173913043478,1.57492700552906,7.07072410726028,-0.947711477753446
"12","Canoe",0.00434982647832225,0.00946032387140543,4.74947241016286,0.288873144053974,9.34820619455372,0.98216868978351,2007,45.53333,-78.7167,367.3,4.36,17.6989130434783,1.55803354033299,5.90617895282562,-5.43326001022036
"13","Canoe_K",0.0886928416039418,0.0496998566837533,4.50373476176049,0.213221817818313,8.51269818998566,0.724954180582264,2011,44.3531,-76.3245,291,NA,21.1086956521739,1.50490699961854,5.67332326717149,-2.32970082401054
"14","Carling",0.110812829615507,0.0277578972356187,4.56998436551177,0.131305628077361,8.73794684274003,0.446439135463027,2009,50.62222,-91.28,1555.61499,NA,14.4945652173913,1.51950978378686,7.34962623838842,-2.08246519535478
"15","Catchacoma",0.175206514026148,0.260016126282084,4.66134861377652,0.321056120892135,9.04858528684019,1.09159081103327,2008,44.75083,-78.32694,708.97,NA,18.0782608695652,1.53930480836681,6.56381321251984,-1.54916767664204
"16","Catfish",0.0110492655012028,0.0117087227949213,4.53040349761325,0.131380228767219,8.60337189188506,0.446692777808547,2007,45.91667,-78.55,528.9,3.26,17.9597826086957,1.51081100784905,6.27079937807193,-4.49428056165772
"17","Cecil",0.375559762700131,0.210000472529773,4.38547108920868,0.155342845503685,8.11060170330951,0.528165674712529,2009,49.53944,-91.3914,1560.765503,NA,15.045652173913,1.47829705202836,7.35293168693753,-0.508438014574616
"18","Charleston",0.115600633005724,0.0573402052144303,4.77897680153208,0.223803232902898,9.44852112520907,0.760930991869855,2008,44.53611,-76.0119,2642.400879,4,19.745652173913,1.56422646533274,7.87944320672866,-2.03476730118573
"19","Cirrus",0.0691954448295095,0.0205509245228641,4.59552023791783,0.210672855293714,8.82476880892061,0.716287707998633,2010,48.5925,-91.9875,2215.814697,2.5,18.575,1.5250819676618,7.70337542388342,-2.59911429094538
"20","Cliff",0.212966451910742,0.0841839703130622,4.53562318062649,0.186147564900269,8.62111881413007,0.632901720660914,2009,50.17083,-93.3008,2236.313477,3.75,15.2173913043478,1.51196248992057,7.71258401988681,-1.30713622478431
"21","Confusion",0.247350641135921,0.101457104480418,4.6494338323704,0.249949233647983,9.00807503005935,0.849827394403138,2009,50.67,-94.1511,1462.985718,3.75,15.1891304347826,1.53674545570686,7.28823463883987,-1.11279253077864
"22","Conifer",0.16805787690031,0.0328403860856347,4.70864286850016,0.227321717731374,9.20938575290054,0.772893840286664,2009,50.55917,-94.0308,1137.930298,3,15.2369565217391,1.54939972818582,7.03696636324981,-1.59945444938554
"23","Cross",0.115552878865599,0.029475708244546,4.66192170451455,0.0785425909349277,9.05053379534946,0.26704480917875,2010,49.96389,-94.2339,108.1861496,4.5,18.1608695652174,1.53942774607411,4.68385335082502,-2.03523447703804
"24","Crystal",0.26554028666816,0.0582832322898574,4.21222888415317,0.132186465714278,7.52157820612076,0.449433983428543,2010,48.70944,-91.2828,623.875061,7.7,18.0989130434783,1.43799193376235,6.43595012556576,-1.01736857696999
"25","Deer",0.0709927514017372,0.0653212371810118,4.54222510132776,0.203801260561009,8.6435653445144,0.692924285907429,2018,52.65,-94.18,14676.8,2.9,17.8684782608696,1.51341700241299,9.59402329475539,-2.57153876246875
"26","Delaney",0.127002314380296,0.0628899872361297,4.35062054578291,0.122357347356127,7.99210985566191,0.416014981010832,2009,50.09306,-94.0483,1278.123657,5.38,15.5989130434783,1.47031848912942,7.15314838847267,-1.92772759501102
"27","Dogpaw",0.121629445172395,0.0588881646118114,4.51766461964473,0.0971753494743235,8.56005970679207,0.330396188212699,2010,49.37472,-93.9058,1966.936157,3.86,18.7641304347826,1.5079951832508,7.58423236082114,-1.97708946080397
"28","Dryberry",0.153487887358969,0.0287596962513199,4.52548003429718,0.259131870979132,8.5866321166104,0.88104836132906,2010,49.52917,-93.8367,10238.58496,7.5,18.5684782608696,1.50972365645283,9.23391870154473,-1.70750285635634
"29","Eagle",0.0631887315468238,0.111773315695362,5.12175150153883,0.45031264781706,10.613955105232,1.53106300257802,2008,44.67972,-76.7025,641.4,NA,19.1141304347826,1.63349647069623,6.46365328725905,-2.69635585392993
"30","Eagle-1",0.0752167799389417,0.0826840525475621,4.63614497718468,0.105734078274568,8.96289292242791,0.359495866133535,2016,49.68,-93.07,27691,2.9,18.1967391304348,1.53388319703011,10.2288627296335,-2.5091850098056
"31","Eva",0.187971886794903,0.0338137807404261,4.68415857504794,0.0958392783368171,9.12613915516298,0.325853546345178,2010,48.71333,-91.1781,1726.177124,5,17.9304347826087,1.54418629978409,7.45366448746741,-1.46324254841312
"32","Factor",0.180491724637475,0.018586391079746,4.433442818132,0.242870002500925,8.27370558164879,0.825758008503142,2010,48.70056,-92.0647,640.0227661,5.1,18.4695652173913,1.48917644207391,6.4615037477523,-1.51301956635763
"33","Gilmour",0.165445658189977,0.201001768971604,4.55981278711763,0.123348194996054,8.70336347619996,0.419383862986587,2007,46.06667,-78.4833,165,4.7,17.7369565217391,1.51728156722684,5.10594547390058,-1.61825506839375
"34","Hogan",0.0335480267262384,0.044607119409541,4.49405441520464,0.35535432856912,8.47978501169576,1.20820471713501,2007,45.86667,-78.5,1283.5,3.2,17.9597826086957,1.50275528210208,7.1573460003112,-3.36065356024747
"35","Kaiashkons",0.117255976879549,0.0715748149802616,4.83623084814004,0.187028556904084,9.64318488367612,0.635897093473879,2010,49.05528,-93.3967,2025.220215,6.65,18.8923913043478,1.57613566696065,7.61343372177614,-2.01867588248986
"36","Kakagi",0.386865013963293,0.164528296840241,4.73570203912484,0.174788521663191,9.30138693302446,0.594280973654845,2010,49.21472,-93.8372,11061.6709,8.6,18.8097826086957,1.55512998156639,9.31124133961487,-0.460509286244813
"37","Katimiagamak",0.0994394939649387,0.055520999187454,4.69264572641981,0.187823993835369,9.15499546982737,0.638601579040258,2010,49.12222,-93.7144,1078.848267,5.3,18.6532608695652,1.5459965441737,6.98364933164402,-2.20346799561659
"38","Kwinkwaga",0.443254697337155,0.092493765945515,4.46793669780693,0.16667328322793,8.39098477254355,0.566689162974967,2016,48.81,-85.33,811.3,3,16.4989130434783,1.49692671320304,6.69863789940102,-0.227963326647184
"39","Lake_of_Bays",0.389848041925623,0.184658190755881,4.87892382622122,0.382602722600852,9.78834100915216,1.3008492568429,2008,45.25583,-79.0025,6763.313477,4.3,17.6,1.58492466813163,8.8192682082677,-0.447951010633874
"40","Longlegged",0.363904066865002,0.0891101592676662,4.0924676868782,0.157832294445504,7.11439013538586,0.536629801114714,2009,50.78389,-94.1742,6760.294434,3,14.9576086956522,1.40914813453942,8.81882172341395,-0.558459109895769
"41","Lower_Manitou",0.119786030251503,0.0576795668310348,4.72664671045194,0.279659247430897,9.2705988155366,0.950841441265046,2010,49.26472,-92.9683,8871.666016,6.2,18.5271739130435,1.55321601037871,9.09061788359664,-1.99445795539518
"42","Mameigwess-1",0.130456252342763,0.0894619447055389,4.55162929370069,0.207964719688551,8.67553959858233,0.707080046941076,2016,49.55,-91.82,5309.7,7.6,17.6695652173913,1.5154852553928,8.57729061546482,-1.89693070663769
"43","Mesomikenda",0.315374888134378,0.340428584163894,4.83683083250808,0.176945880471781,9.64522483052746,0.601615993604057,2010,47.65,-81.88,1706.2,5.3,18.2695652173913,1.57625971959024,7.44202395447459,-0.775109354246332
"44","Midlothian",0.201103368294927,0.0825358541158182,4.47768194317369,0.19872462463356,8.42411860679054,0.675663723754103,2008,47.91,-81,367.3,4.6,16.2934782608696,1.49910548911848,5.90617895282562,-1.37941251932169
"45","Muskoka",0.171664621143681,0.0435000459478901,5.691150297929,0.0818473913735028,12.5499110129586,0.278281130669908,2008,45.05361,-79.475,8900,NA,18.5815217391304,1.73891238902959,9.09380655572023,-1.57387542304706
"46","Panache",0.0493566757045456,0.0437081062040632,4.68252093747916,0.119414659280417,9.12057118742913,0.406009841553414,2006,46.25,-81.33,8006.1,6.9,19.1489130434783,1.54383662675786,8.98795903010654,-2.95806590951208
"47","Pickerel",0.20186831376227,0.0479347164054813,4.49244370248915,0.164918683951362,8.47430858846311,0.560723525434624,2010,48.62472,-91.4444,5355.734375,3.3,18.3141304347826,1.50239680815335,8.58592311166788,-1.37465803143732
"48","Pipestone",0.119256997246156,0.0317278959281382,4.79415762598484,0.13780350530109,9.50013592834846,0.468531918023691,2010,49.09111,-93.5542,3658.509,4.31,18.7554347826087,1.56739801531831,8.20481096634566,-1.99948506738108
"49","Radisson",0.205621634888632,0.0768594754122763,4.58743593468169,0.143157561618107,8.79728217791774,0.486735709501563,2014,48.21,-80.76,543.5,4.5,16.420652173913,1.52332124809117,6.29802970656126,-1.35152212200709
"50","Raven",0.200415047881956,0.0338060035384086,4.54211059355716,0.291853945255523,8.64317601809436,0.992303413868776,2009,48.05,-79.55,616.7,2.9,15.9173913043478,1.51339179247482,6.42438268199745,-1.38370232756411
"51","Rib",0.241691171665686,0.0323661161155455,4.40709255714309,0.165026010357866,8.18411469428652,0.561088435216746,2014,47.22,-79.72,682,5.4,16.4347826086957,1.48321518794089,6.52502965784346,-1.14342996686853
"52","Rosseau",0.0246390036824361,0.0225684136606624,4.86168351292572,0.0781348507778752,9.72972394394747,0.265658492644781,2011,45.17389,-79.585,6297.369141,5.3,19.8891304347826,1.58138477976571,8.74788722849519,-3.67847695222292
"53","Shillington",0.00867432334557464,0.010705921088393,4.39145278367422,0.14520684009667,8.13093946449235,0.493703256328679,2011,47.77,-80.65,136,3.1,18.3728260869565,1.47966010256367,4.91265488573605,-4.73867579242464
"54","Silver",0.117468412098531,0.0644937741169402,4.67514257110243,0.2891537940036,9.09548474174827,0.983122899612257,2010,49.87639,-94.1783,2577.643,5.43,18.1565217391304,1.54225965876814,7.85463069446854,-2.01662511758483
"55","Stormy",0.148542701418948,0.0445369527209204,3.23421512850027,0.201360190906235,4.19633143690092,0.684624649081204,2010,49.38972,-92.3075,3432.499512,4.5,18.2684782608696,1.17378627981457,8.14104399547169,-1.74607688182864
"56","Sturgeon",0.268341037813621,0.0579757841796768,4.58015151148357,0.210502570392653,8.77251513904413,0.715708739335023,2016,49.97,-90.77,21412.7,4,16.8391304347826,1.52173207868888,9.97173948292734,-1.00305580605717
"57","Tadpole",0.166481194887466,0.0241855051835397,4.72495503509804,0.132280651274639,9.26484711933335,0.449754214333772,2010,49.465,-93.2972,521.8063354,4.5,18.3010869565217,1.55285804451906,6.25729651406242,-1.61077390413599
"58","Temagami",0.227703788285348,0.0725322571985804,4.74227097178085,0.186528218796026,9.3237213040549,0.634195943906487,2014,47.01,-80.08,20971.7,10.7,16.5271739130435,1.55651612894205,9.95092918880277,-1.22132256025505
"59","Thieving Bear",0.0114218543437585,0.0153084203692242,4.61973646323209,0.176038547153936,8.9071039749891,0.598531060323384,2010,47.18,-79.83,114.8,4.6,18.5815217391304,1.5303376608762,4.74319148388547,-4.46073912636461
"60","Three_Mile",0.0902328968802221,0.0326436112887962,4.94608077431,0.116248372383919,10.016674632654,0.395244466105323,2007,45.98333,-78.9,415,3.8,17.8804347826087,1.59859550020526,6.0282785202307,-2.31079456511581
"61","Upper_Manitou",0.187606159079193,0.061745201824078,4.58726732336023,0.210135571082141,8.79670889942477,0.714460941679285,2010,49.40694,-92.7953,5310.433105,5.5,18.3782608695652,1.52328449239091,8.57742867493995,-1.4656403813935
"62","Upper_Medicine_Stone",0.256779488813599,0.19846116525419,4.3463793364941,0.102946759773573,7.97768974407994,0.350018983230152,2009,50.89556,-94.0594,1076.231812,2.35,14.8521739130435,1.46934316207815,6.98122115617986,-1.06277508918884
"63","Victoria",0.199778506808914,0.0705747814270577,3.99565330016103,0.171587274043131,6.7852212205475,0.583396731746648,2009,49.62306,-91.5489,926.2330933,3.3,15.0760869565217,1.38520709530083,6.83112592359621,-1.38767926893729
"64","Wapageisi",0.317924153596868,0.0778510070499265,4.37128165775237,0.145553401719006,8.06235763635807,0.494881565844621,2010,49.32222,-92.3506,1304.994019,5,18.2586956521739,1.47505625163456,7.17395373660453,-0.763328019764392
"65","White_Partridge",0.0211760636021607,0.0516587374696812,4.63628559355307,0.105009126917201,8.96337101808044,0.357031031518487,2007,45.83333,-78.1,584.4,4.84,18.2663043478261,1.53391352702122,6.37058567987654,-3.83348031768756
