"","Lake_Name","Dev_Index","pLittoral","Depth_Max","X","sampling_year","Area_ha","Secchi_depth","summer_air_temp","SEAc","dY_range","dX_range","TA","CD","NND","SDNND","LaTro_CUE","total_pred_CUE","log_area_ha","log_dY_range","log_dX_range","log_SEAc","log_LaTro_CUE","log_NND","log_SDNND","log_CD","log_total_pred_CUE","log_dev_index"
"1","Abbess",2.487328,0.2741935486,37.2,1,2010,134.2887726,NA,18.3380434782609,0.0447804959679946,0.87832527900356,0.212937845104544,0.108312906995882,0.204130022661728,0.0634708495823074,0.0383820264952523,1.754,0.859,4.89999250063025,-0.129738276731751,-1.54675496287759,-3.10598259221421,0.561898893949991,-2.75717454018052,-3.26016598898221,-1.58899812218049,-0.151986356997882,0.911209041931292
"2","Argo",2.8705088,0.1755274704,55.5,2,2010,939.9425659,8,18.770652173913,0.0406932422737346,0.76339107130306,0.255885205395419,0.110546684319206,0.156038509342383,0.0709699421729209,0.0653993342997629,4.893,0.795,6.84581877329098,-0.269984834700815,-1.36302635149543,-3.20169323781972,1.58780561230699,-2.64549884125577,-2.7272431994735,-1.85765244743736,-0.229413164327805,1.05448929628886
"3","Atikwa",9.1789411,0.2421729826,59.5,3,2010,5196.498535,4.5,18.4282608695652,0.11736081517949,0.86501536935991,0.669277615848201,0.269974885151551,0.239906056642162,0.0925053630118018,0.128854709440385,0.647,1.787,8.55574031910791,-0.145008004161969,-0.401556333558219,-2.14250219919769,-0.435408984481236,-2.38048865763848,-2.04906979276213,-1.42750786292678,0.580538236177291,2.21691184939536
"4","Aylen",3.1237425,0.12316,67.1,4,2008,2104.572266,5.5,17.5304347826087,0.0243291096032937,1.49901816375406,0.0976689094566312,0.0636236305390606,0.265184094498042,0.0610013354305719,0.105615392768853,0.579,1.205,7.65186752641888,0.404810336294586,-2.32617199517707,-3.71608171951509,-0.546452801409142,-2.796859522744,-2.24795115347608,-1.32733099796661,0.186479566942618,1.13903180220376
"5","Beaverhouse",4.2762117,0.1590842002,64.7,6,2010,1956.608276,3.75,18.7391304347826,0.0234644909861494,0.77946395059742,0.103204250319758,0.0599483243557617,0.225246642291801,0.0443277204995088,0.0263482301438985,1.03,0.526,7.57896778180075,-0.249148838381921,-2.27104524151379,-3.75226702244283,0.0295588022415444,-3.11614505271785,-3.63635417346506,-1.49055928918947,-0.642454066244427,1.45306750082408
"6","Bell",5.647412,0.310461435,34.4,7,2009,4161.751953,3.25,14.6510869565217,0.0280074498895248,0.49400590235509,0.249917147772842,0.0785474199829554,0.140641916812431,0.0347272956207799,0.0350722739758514,1.273,2.621,8.33369140714775,-0.705207813778366,-1.38662582495659,-3.57528473671358,0.241376319575269,-3.36022928393703,-3.35034437587564,-1.96153821592575,0.963555924341269,1.73119738712264
"7","Bending",5.082128,0.259018,45.8,8,2010,1147.116,4.1,18.0630434782609,0.0489972786499906,0.66447370536432,0.179370460626411,0.052888346386601,0.183820086907863,0.146644586511125,0.120539946016739,0.159,7.294,7.04500624540719,-0.408759972169605,-1.71830199940081,-3.01599052016908,-1.83885107676191,-1.91974339858626,-2.11577407877254,-1.69379778826443,1.98705209238649,1.62573007151506
"8","Big_Rideaux",6.5202341,0.431979766,100,9,2009,4583.948242,8.15,18.5173913043478,0.0429843422234726,0.577559049769309,0.366179433484545,0.11769585389336,0.144584844043419,0.0574033741417034,0.0510910375747565,0.243,4.862,8.43031596731861,-0.548944591130647,-1.00463181029444,-3.14691936393943,-1.41469383564159,-2.85765219442776,-2.97414618708158,-1.93388878772848,1.58144987589393,1.87491028020197
"9","Bluffpoint",4.1070405,0.335829493,38.1,10,2010,503.7400818,3.74,18.7858695652174,0.0283759609440258,0.94079229776463,0.100729912565565,0.0532393688898027,0.191783048144698,0.0448358505400901,0.0400661011055241,1.463,1.481,6.22206042433258,-0.061032888771128,-2.29531247703582,-3.56221293788526,0.380489122037987,-3.10474722430886,-3.21722466115149,-1.65139050341744,0.392717535285662,1.41270269613836
"10","Burntroot",3.9638859,NA,19.9,11,2007,1177,3.62,17.9173913043478,0.0331235634883485,0.34652312501303,0.295393951800834,0.0427167806323281,0.132867599116807,0.0632368515572378,0.0535962061248673,0.122222222222222,0.575,7.07072410726028,-1.05980572372477,-1.21944538370234,-3.40751036200558,-2.1019143975319,-2.76086805350264,-2.92627699466297,-2.01840214195734,-0.553385238184787,1.37722483199696
